clave,entidad,municipio,poblacion,ing_corr_tot_pc,anios_esc_mean,anios_esc_esp,ss_subin_salud,se_subin_educ,si_subin_ing,idh,gini,,
08024,Chihuahua,Santa Isabel,3791,3796.933,7.459,11.45,0.702,0.567,0.76,0.671,0.32,,
08025,Chihuahua,Gómez Farías,7023,4013.07,7.521,11.547,0.629,0.571,0.768,0.651,0.33,,
08026,Chihuahua,Gran Morelos,2448,3600.296,6.32,11.918,0.845,0.542,0.752,0.701,0.32,,
08027,Chihuahua,Guachochi,50180,2223.463,5.787,10.066,0.661,0.472,0.679,0.596,0.44,,
08028,Chihuahua,Guadalupe,4237,3531.139,7.083,12.076,0.729,0.572,0.749,0.678,0.3,,
08029,Chihuahua,Guadalupe y Calvo,50514,1711.762,5.083,9.386,0.707,0.43,0.64,0.579,0.43,,
08030,Chihuahua,Guazapares,8196,2449.361,6.308,10.397,0.772,0.499,0.694,0.644,0.46,,
08031,Chihuahua,Guerrero,35473,3263.646,6.94,11.76,0.796,0.558,0.737,0.689,0.35,,
08032,Chihuahua,Hidalgo del Parral,116662,4179.749,9.773,13.343,0.888,0.696,0.775,0.783,0.37,,
08033,Chihuahua,Huejotitán,824,2946.361,6.269,10.52,0.821,0.501,0.722,0.667,0.33,,
08034,Chihuahua,Ignacio Zaragoza,5196,4156.879,7.11,11.585,0.855,0.559,0.774,0.718,0.32,,
08035,Chihuahua,Janos,11005,3216.576,6.679,7.317,0.658,0.426,0.735,0.59,0.32,,
08036,Chihuahua,Jiménez,40859,3795.557,9.197,12.181,0.823,0.645,0.76,0.739,0.37,,
08037,Chihuahua,Juárez,1512450,4898.153,9.823,12.738,0.855,0.681,0.798,0.775,0.35,,
08038,Chihuahua,Julimes,4980,3471.929,7.405,11.246,0.897,0.559,0.746,0.721,0.3,,
08039,Chihuahua,López,4122,3718.748,8.265,12.507,0.892,0.623,0.757,0.749,0.32,,
08040,Chihuahua,Madera,25144,3196.162,7.293,11.628,0.841,0.566,0.734,0.704,0.35,,
08041,Chihuahua,Maguarichi,1302,1521.169,5.574,11.61,0.581,0.508,0.622,0.569,0.4,,
08042,Chihuahua,Manuel Benavides,1178,3493.8,6.043,10.496,0.782,0.493,0.747,0.66,0.3,,
08043,Chihuahua,Matachí,2742,3257.766,6.853,10.675,0.888,0.525,0.737,0.7,0.32,,
08044,Chihuahua,Matamoros,4314,3688.009,7.621,12.815,0.892,0.61,0.756,0.744,0.3,,
08045,Chihuahua,Meoqui,44853,3966.392,8.443,11.435,0.889,0.599,0.767,0.742,0.34,,
08046,Chihuahua,Morelos,7266,1396.866,4.848,9.597,0.586,0.428,0.609,0.535,0.43,,
08047,Chihuahua,Moris,4447,2112.338,5.784,10.762,0.814,0.492,0.671,0.645,0.38,,
08048,Chihuahua,Namiquipa,22712,4956.422,7.071,10.502,0.857,0.527,0.8,0.713,0.31,,
08049,Chihuahua,Nonoava,2757,2836.746,6.277,11.349,0.798,0.524,0.716,0.669,0.37,,
